layer,group_idx,avg_scale,weight_variance
0,0,0.006570314057171345,0.00010952494631055743
0,1,0.006576503627002239,0.00011001838720403612
0,2,0.006576843094080687,0.00011006653221556917
0,3,0.006592579651623964,0.00011014541814802215
0,4,0.0065784696489572525,0.00010965207184199244
0,5,0.006589371245354414,0.00011023325350834057
0,6,0.006589882541447878,0.00011017154611181468
0,7,0.006582365371286869,0.0001102703099604696
0,8,0.00659516267478466,0.00011020296369679272
0,9,0.006599808111786842,0.00011041334073524922
0,10,0.006591085344552994,0.0001105118717532605
0,11,0.00659995386376977,0.00011055080540245399
0,12,0.00659304391592741,0.00011051806359319016
0,13,0.006603689398616552,0.00011047687439713627
0,14,0.006604983005672693,0.00011089516192441806
0,15,0.006604045629501343,0.00011083199933636934
0,16,0.006601954810321331,0.00011087890743510798
0,17,0.006604599766433239,0.00011075840302510187
0,18,0.0065919579938054085,0.00011083440767833963
0,19,0.006613616831600666,0.0001112644313252531
0,20,0.006616045720875263,0.00011089853069279343
0,21,0.006623421795666218,0.00011114554945379496
0,22,0.006613016128540039,0.00011129354243166745
0,23,0.006621764972805977,0.00011129389895359054
0,24,0.006616606377065182,0.00011128600453957915
0,25,0.006633383687585592,0.00011162325972691178
0,26,0.006635506171733141,0.00011162216105731204
0,27,0.0066323839128017426,0.00011192196689080447
0,28,0.006632369011640549,0.00011162371811224148
0,29,0.006629519164562225,0.00011181911395397037
0,30,0.006616813130676746,0.00011171842197654769
0,31,0.006634024903178215,0.00011199204163858667
0,32,0.006640642415732145,0.00011212560639251024
0,33,0.006648320704698563,0.0001119205480790697
0,34,0.006654874421656132,0.00011227604409214109
0,35,0.006641220301389694,0.00011238580191275105
0,36,0.006648206152021885,0.00011260453175054863
0,37,0.006669617258012295,0.00011272938718320802
0,38,0.006664940156042576,0.00011323095532134175
0,39,0.00667301332578063,0.00011330018605804071
0,40,0.006662553176283836,0.00011274474672973156
0,41,0.006696182303130627,0.00011340454511810094
0,42,0.006673840805888176,0.00011326479580020532
0,43,0.006678237114101648,0.00011318303586449474
0,44,0.006675580516457558,0.000113238776975777
0,45,0.006681434344500303,0.00011330330744385719
0,46,0.006689509376883507,0.00011371794244041666
0,47,0.006688278634101152,0.0001137991130235605
0,48,0.00670264195650816,0.00011403037933632731
0,49,0.006686151959002018,0.00011394784087315202
0,50,0.006697137840092182,0.00011403966345824301
0,51,0.006721120327711105,0.00011465438001323491
0,52,0.006720295175909996,0.00011482678382890299
0,53,0.006734607741236687,0.00011499739048304036
0,54,0.006728538777679205,0.00011521636770339683
0,55,0.00674930214881897,0.00011539529805304483
1,0,0.006661556661128998,0.00011286550579825416
1,1,0.006656534969806671,0.00011274791177129373
1,2,0.006675124168395996,0.00011306170927127823
1,3,0.006651311181485653,0.0001126354472944513
1,4,0.0066564432345330715,0.00011279734462732449
1,5,0.006674624979496002,0.00011291215196251869
1,6,0.006660384591668844,0.00011283549247309566
1,7,0.006673107855021954,0.00011287226516287774
1,8,0.006657226011157036,0.00011279308091616258
1,9,0.006663690321147442,0.00011281539627816528
1,10,0.006665732245892286,0.00011297446326352656
1,11,0.006667632609605789,0.00011305279622320086
1,12,0.006669210270047188,0.00011317218013573438
1,13,0.006662364117801189,0.0001130246528191492
1,14,0.006666528061032295,0.00011289147369097918
1,15,0.006672815419733524,0.00011295853619230911
1,16,0.006659677252173424,0.00011284155334578827
1,17,0.006664378102868795,0.00011280250328127295
1,18,0.006652839947491884,0.0001128568546846509
1,19,0.006668104790151119,0.00011293172428850085
1,20,0.006666770204901695,0.00011316526070004329
1,21,0.006678162142634392,0.00011315524898236617
1,22,0.00666785566136241,0.00011297730088699609
1,23,0.006672043353319168,0.00011303793144179508
1,24,0.006666397675871849,0.00011284102220088243
1,25,0.006677017547190189,0.00011326532694511116
1,26,0.006663853768259287,0.00011287849338259548
1,27,0.0066809263080358505,0.00011311251728329808
1,28,0.006686489563435316,0.00011327990796416998
1,29,0.006678094621747732,0.00011332358553772792
1,30,0.006654843688011169,0.00011282866034889594
1,31,0.006671153008937836,0.00011311665002722293
1,32,0.006665700115263462,0.00011340722267050296
1,33,0.006672951392829418,0.00011301005724817514
1,34,0.006665472872555256,0.00011321642523398623
1,35,0.006668456830084324,0.00011313163849990815
1,36,0.006682705134153366,0.00011335659655742347
1,37,0.006673147901892662,0.00011328509572194889
1,38,0.00668184133246541,0.00011334789451211691
1,39,0.006681658793240786,0.00011330327106406912
1,40,0.006680553779006004,0.00011340701166773215
1,41,0.006674610078334808,0.00011330051347613335
1,42,0.006683138199150562,0.00011344262020429596
1,43,0.006691831164062023,0.00011361783981556073
1,44,0.0066831992007792,0.00011362784425728023
1,45,0.00669688219204545,0.00011381283547962084
1,46,0.006684040650725365,0.000113504400360398
1,47,0.006681431084871292,0.00011360408097971231
1,48,0.006683679763227701,0.0001135671409429051
1,49,0.006673422642052174,0.00011345000530127436
1,50,0.006688239052891731,0.00011368642299203202
1,51,0.006697360891848803,0.00011359409108990803
1,52,0.006699114106595516,0.00011388506391085684
1,53,0.0066764685325324535,0.00011343569349264726
1,54,0.0066759707406163216,0.00011367029946995899
1,55,0.006696453783661127,0.00011392866144888103
2,0,0.006666180677711964,0.00011339881166350096
2,1,0.006676490884274244,0.0001134720369009301
2,2,0.006680920720100403,0.00011332939175190404
2,3,0.006686855107545853,0.00011335015733493492
2,4,0.0066898055374622345,0.00011357775656506419
2,5,0.006665149703621864,0.00011318527685943991
2,6,0.006694318726658821,0.000113767157017719
2,7,0.006674841977655888,0.00011338562035234645
2,8,0.006687013432383537,0.00011356444883858785
2,9,0.006680747494101524,0.00011372142762411386
2,10,0.006686998065561056,0.00011352223373251036
2,11,0.00668071024119854,0.00011350952263455838
2,12,0.006705119274556637,0.000113877140393015
2,13,0.00669355783611536,0.00011369511776138097
2,14,0.0066970521584153175,0.00011381215881556273
2,15,0.006677820812910795,0.00011354174057487398
2,16,0.006695098243653774,0.00011400968651287258
2,17,0.006692469585686922,0.00011421614181017503
2,18,0.00671257171779871,0.00011419951624702662
2,19,0.006710848771035671,0.00011428161087678745
2,20,0.006704133003950119,0.00011419427755754441
2,21,0.006709690671414137,0.00011437027569627389
2,22,0.006706570275127888,0.00011429754522396252
2,23,0.006721850018948317,0.00011484492279123515
2,24,0.006719903089106083,0.00011440011439844966
2,25,0.006717214360833168,0.00011468563025118783
2,26,0.006720623932778835,0.00011461788380984217
2,27,0.006709889508783817,0.00011429949518060312
2,28,0.006701529957354069,0.0001146184658864513
2,29,0.006707870401442051,0.0001144242996815592
2,30,0.0067294565960764885,0.00011474575876491144
2,31,0.006712149828672409,0.00011475673818495125
2,32,0.006726320832967758,0.00011488969903439283
2,33,0.006720403209328651,0.00011471340258140117
2,34,0.006717678625136614,0.00011506744340294972
2,35,0.006737864576280117,0.00011510781041579321
2,36,0.006740786135196686,0.00011521093983901665
2,37,0.0067349327728152275,0.0001154476631199941
2,38,0.006729277316480875,0.00011526397429406643
2,39,0.006742922589182854,0.00011546773748705164
2,40,0.006729668006300926,0.00011524567526066676
2,41,0.006744999438524246,0.00011544917651917785
2,42,0.006748423911631107,0.00011555595847312361
2,43,0.006742995698004961,0.00011570192873477936
2,44,0.006746762897819281,0.0001157579172286205
2,45,0.006752952001988888,0.00011605012696236372
2,46,0.006769135594367981,0.00011640034063020721
2,47,0.006752870976924896,0.00011584929598029703
2,48,0.006775681395083666,0.00011625730985542759
2,49,0.006784052588045597,0.00011641359742498025
2,50,0.006785494275391102,0.00011672398977680132
2,51,0.006769967265427113,0.00011678516602842137
2,52,0.006776334717869759,0.00011652328976197168
2,53,0.00679453369230032,0.00011709716636687517
2,54,0.006792236119508743,0.00011719484609784558
2,55,0.006792129948735237,0.00011729983816621825
3,0,0.006521251983940601,0.00010785352787934244
3,1,0.006514187436550856,0.00010772630776045844
3,2,0.006526730488985777,0.00010797366121551022
3,3,0.006526898592710495,0.00010807297076098621
3,4,0.0065170712769031525,0.00010812474647536874
3,5,0.00651752483099699,0.00010814972483785823
3,6,0.0065284413285553455,0.00010818132432177663
3,7,0.00652425829321146,0.00010835122520802543
3,8,0.006527346093207598,0.00010810261301230639
3,9,0.0065321666188538074,0.00010827142978087068
3,10,0.006545463111251593,0.00010842963820323348
3,11,0.006537991110235453,0.00010852306877495721
3,12,0.006530136335641146,0.00010856119479285553
3,13,0.006541118025779724,0.0001083809620467946
3,14,0.006542492657899857,0.0001086372576537542
3,15,0.0065377745777368546,0.0001086873744498007
3,16,0.006538544315844774,0.00010846616351045668
3,17,0.006551041733473539,0.00010875501175178215
3,18,0.006543285213410854,0.00010890410339925438
3,19,0.00653334753587842,0.00010873321298277006
3,20,0.006544190924614668,0.00010840650793397799
3,21,0.006548221223056316,0.00010895586456172168
3,22,0.006547388155013323,0.00010910629498539492
3,23,0.006546687334775925,0.00010886776726692915
3,24,0.006551500875502825,0.000108810439996887
3,25,0.0065469276160001755,0.00010905433009611443
3,26,0.0065492428839206696,0.00010898651089519262
3,27,0.006545471027493477,0.00010917586769210175
3,28,0.006552751176059246,0.0001091014055418782
3,29,0.006546094547957182,0.00010886613017646596
3,30,0.006568556651473045,0.00010929205745924264
3,31,0.0065551092848181725,0.00010915638995356858
3,32,0.0065659647807478905,0.00010927298717433587
3,33,0.006541289854794741,0.00010933250450761989
3,34,0.006562052760273218,0.00010965779074467719
3,35,0.0065573398023843765,0.00010955808829749003
3,36,0.00656387023627758,0.00010963832028210163
3,37,0.0065835630521178246,0.00010992806346621364
3,38,0.006569246295839548,0.00010980568185914308
3,39,0.0065754735842347145,0.00010979080980177969
3,40,0.006560022011399269,0.00010956337791867554
3,41,0.006571617443114519,0.00010984484106302261
3,42,0.006583630107343197,0.00011023365368600935
3,43,0.00658374885097146,0.0001103249960578978
3,44,0.006572165060788393,0.00011010126763721928
3,45,0.0065873973071575165,0.00011035783245461062
3,46,0.006586836650967598,0.00010996215860359371
3,47,0.006588716059923172,0.00011060586257372051
3,48,0.006585679017007351,0.0001103748581954278
3,49,0.00659253029152751,0.00011043544509448111
3,50,0.00659919111058116,0.00011078517127316445
3,51,0.006600778549909592,0.00011068956519011408
3,52,0.006607056595385075,0.0001109727963921614
3,53,0.006606113165616989,0.00011101775453425944
3,54,0.006605369038879871,0.00011106579768238589
3,55,0.006612907163798809,0.0001114327969844453
4,0,0.006356379948556423,0.00010269731865264475
4,1,0.006349331233650446,0.00010245297744404525
4,2,0.006345994304865599,0.00010277528053848073
4,3,0.006346783600747585,0.0001025418532663025
4,4,0.006365662440657616,0.00010276601096848026
4,5,0.006367569323629141,0.00010300149006070569
4,6,0.006360392086207867,0.00010289798228768632
4,7,0.006362830754369497,0.00010274324449710548
4,8,0.006359776481986046,0.00010310517973266542
4,9,0.0063699996098876,0.00010312046651961282
4,10,0.006363976281136274,0.00010278022818965837
4,11,0.00636933371424675,0.00010293941159034148
4,12,0.006378379184752703,0.0001033426306094043
4,13,0.006369931623339653,0.00010301048314431682
4,14,0.006380940321832895,0.00010346443741582334
4,15,0.006366794463247061,0.00010295795800630003
4,16,0.0063738394528627396,0.00010300979192834347
4,17,0.006374738644808531,0.00010310269135516137
4,18,0.006373119540512562,0.00010316454427083954
4,19,0.006364795379340649,0.00010317892883904278
4,20,0.006382950581610203,0.0001031642168527469
4,21,0.006374135613441467,0.0001031651918310672
4,22,0.0063791233114898205,0.00010365810157964006
4,23,0.006361305247992277,0.00010332012607250363
4,24,0.006367979571223259,0.00010331004159525037
4,25,0.006391974166035652,0.00010370145173510537
4,26,0.006393720395863056,0.00010373356053605676
4,27,0.006393967196345329,0.00010390693933004513
4,28,0.006400776095688343,0.00010361528256908059
4,29,0.0063820225186645985,0.0001035855821100995
