layer,group_idx,avg_scale,weight_variance
2,10,0.011113554239273071,0.0003095742722507566
2,11,0.011087879538536072,0.0003121212648693472
2,12,0.011120747774839401,0.000312061863951385
2,13,0.011106856167316437,0.0003125805815216154
2,14,0.011170378886163235,0.0003118567692581564
2,15,0.011112168431282043,0.0003136048326268792
2,16,0.011126714758574963,0.0003123563656117767
2,17,0.011107342317700386,0.0003124181821476668
2,18,0.011141793802380562,0.0003140772460028529
2,19,0.011241024360060692,0.0003144326328765601
2,20,0.011147847399115562,0.0003126185038127005
2,21,0.011132503859698772,0.00031373355886898935
2,22,0.011170269921422005,0.00031387628405354917
2,23,0.011154601350426674,0.0003149976546410471
2,24,0.011150756850838661,0.0003142629284411669
2,25,0.011176159605383873,0.00031450201640836895
2,26,0.011206229217350483,0.0003157969913445413
2,27,0.011175960302352905,0.0003163907094858587
2,28,0.011152289807796478,0.0003162107022944838
2,29,0.011192266829311848,0.00031537358881905675
2,30,0.011199780739843845,0.00031761033460497856
2,31,0.01120106503367424,0.0003181298088748008
2,32,0.011174921877682209,0.0003165505768265575
2,33,0.011248077265918255,0.0003183828666806221
2,34,0.011189489625394344,0.00031696949736215174
2,35,0.011214032769203186,0.00031838787253946066
2,36,0.01123418565839529,0.0003176378959324211
2,37,0.01121448539197445,0.00031863123876973987
2,38,0.011285608634352684,0.000319593382300809
2,39,0.01126941666007042,0.00031990790739655495
2,40,0.011258138343691826,0.00031937050516717136
2,41,0.011306853033602238,0.0003207173431292176
2,42,0.011254819110035896,0.0003196837496943772
3,0,0.011105920188128948,0.000309562252368778
3,1,0.01105319894850254,0.00030839646933600307
3,2,0.011067735031247139,0.0003094869607593864
3,3,0.011104682460427284,0.0003121054032817483
3,4,0.0110941082239151,0.0003091955732088536
3,5,0.011122511699795723,0.00031065786606632173
3,6,0.011124363169074059,0.0003121027257293463
3,7,0.011060312390327454,0.0003102699411101639
3,8,0.011132726445794106,0.00031234484049491584
3,9,0.011140248738229275,0.00031232961919158697
3,10,0.011132623068988323,0.0003129972901660949
3,11,0.011152043007314205,0.0003140507033094764
3,12,0.011190749704837799,0.0003149002732243389
3,13,0.011117705143988132,0.00031259891693480313
3,14,0.011183601804077625,0.00031394814141094685
3,15,0.01115592010319233,0.0003115593281108886
3,16,0.011138953268527985,0.00031324889278039336
3,17,0.011113625951111317,0.00031327211763709784
3,18,0.01113678328692913,0.00031262519769370556
3,19,0.011148091405630112,0.00031258471426554024
3,20,0.011184979230165482,0.00031667432631365955
3,21,0.01116369292140007,0.0003165929520037025
3,22,0.011181294918060303,0.00031514736474491656
3,23,0.011172753758728504,0.00031467198277823627
3,24,0.011206618510186672,0.00031477847369387746
3,25,0.011198168620467186,0.00031636227504350245
3,26,0.011156834661960602,0.00031373449019156396
3,27,0.011212877929210663,0.0003169870760757476
3,28,0.011210281401872635,0.00031542565557174385
3,29,0.011227035894989967,0.0003166694368701428
3,30,0.011231113225221634,0.0003167054383084178
3,31,0.01123904436826706,0.0003183034132234752
3,32,0.01125562097877264,0.00031845958437770605
3,33,0.011256868951022625,0.0003188619448337704
3,34,0.011215919628739357,0.00031799846328794956
3,35,0.011269958689808846,0.00031904736533761024
3,36,0.01123382430523634,0.00031820585718378425
3,37,0.011251287534832954,0.0003172986616846174
3,38,0.011267805472016335,0.00032083093537949026
3,39,0.011228748597204685,0.0003183983208145946
3,40,0.01125364750623703,0.0003216048062313348
3,41,0.011285440996289253,0.00032078256481327116
3,42,0.011319935321807861,0.0003206238034181297
4,0,0.010985310189425945,0.0003039528673980385
4,1,0.010999655351042747,0.000305521854897961
4,2,0.010974039323627949,0.0003039916045963764
4,3,0.010980102233588696,0.0003035895060747862
4,4,0.011022581718862057,0.0003050501982215792
4,5,0.01100890338420868,0.000305051333270967
4,6,0.011039985343813896,0.0003039301373064518
4,7,0.01099901832640171,0.0003048549988307059
4,8,0.010977135971188545,0.0003041281015612185
4,9,0.011026917025446892,0.0003056755231227726
4,10,0.011063603684306145,0.00030455493833869696
4,11,0.011141955852508545,0.00030700318166054785
4,12,0.011131804436445236,0.0003048823564313352
4,13,0.010985130444169044,0.00030485563911497593
4,14,0.011049422435462475,0.0003036333655472845
4,15,0.011092153377830982,0.00030554961995221674
4,16,0.011013209819793701,0.00030471061472781
4,17,0.011058666743338108,0.00030779754160903394
4,18,0.011008942499756813,0.0003044472832698375
4,19,0.011040190234780312,0.00030615064315497875
4,20,0.011094552464783192,0.0003086035721935332
4,21,0.011064651422202587,0.00030736380722373724
4,22,0.011045824736356735,0.00030602855258621275
4,23,0.01116507314145565,0.0003085744974669069
4,24,0.011044209823012352,0.0003057952271774411
4,25,0.011116043664515018,0.0003065232012886554
4,26,0.011066887527704239,0.00030782888643443584
4,27,0.011056626215577126,0.00030727603007107973
4,28,0.011078580282628536,0.0003086564829573035
4,29,0.011069782078266144,0.0003088949015364051
4,30,0.011097120121121407,0.0003103649942204356
4,31,0.011054080910980701,0.00030739008798263967
4,32,0.011096115224063396,0.0003077604342252016
4,33,0.011084692552685738,0.0003087857912760228
4,34,0.011151235550642014,0.0003114677674602717
4,35,0.011077171191573143,0.0003091210965067148
4,36,0.01106138527393341,0.00030906920437701046
4,37,0.011108973063528538,0.000310770032228902
4,38,0.011088297702372074,0.0003108826931566
4,39,0.011140193790197372,0.00031012820545583963
4,40,0.011145162396132946,0.0003127599193248898
4,41,0.011121753603219986,0.00031257886439561844
4,42,0.011099702678620815,0.00031016883440315723
5,0,0.010980619117617607,0.0003043761826120317
5,1,0.010988461785018444,0.00030341208912432194
5,2,0.010994457639753819,0.00030490674544125795
5,3,0.010958624072372913,0.0003029325162060559
5,4,0.011020203121006489,0.0003043014439754188
5,5,0.010992736555635929,0.000304712651995942
5,6,0.011017250828444958,0.00030480700661428273
5,7,0.011028933338820934,0.0003057839348912239
5,8,0.01098901778459549,0.00030434897053055465
5,9,0.011005645617842674,0.00030419774702750146
5,10,0.011010140180587769,0.0003036320267710835
5,11,0.010995741933584213,0.00030421969131566584
5,12,0.01099606603384018,0.0003041854652110487
5,13,0.01101924479007721,0.0003052924294024706
5,14,0.011004738509654999,0.00030498256091959774
5,15,0.011032728478312492,0.0003051701351068914
5,16,0.011036459356546402,0.00030573783442378044
5,17,0.010971763171255589,0.0003024653997272253
5,18,0.011048171669244766,0.00030629298998974264
5,19,0.011023033410310745,0.00030471806530840695
5,20,0.010971147567033768,0.00030372716719284654
5,21,0.01103156991302967,0.000306767295114696
5,22,0.011039873585104942,0.0003069506783504039
5,23,0.011046912521123886,0.00030514629906974733
5,24,0.011040883138775826,0.00030710987630300224
5,25,0.011072074994444847,0.0003098934830632061
5,26,0.011111728847026825,0.00031046330695971847
5,27,0.011029434390366077,0.0003074979467783123
5,28,0.01105230487883091,0.00030918544507585466
5,29,0.01109304279088974,0.00030951364897191525
5,30,0.011117914691567421,0.00030934924143366516
5,31,0.011045088991522789,0.0003079322341363877
5,32,0.011079058051109314,0.000309999828459695
5,33,0.01110520213842392,0.0003111449768766761
5,34,0.011070484295487404,0.0003083378542214632
5,35,0.011052990332245827,0.0003065225901082158
5,36,0.01109050028026104,0.00030872123898006976
5,37,0.011128172278404236,0.0003119905886705965
5,38,0.011045923456549644,0.0003089349193032831
5,39,0.011173045262694359,0.00031269717146642506
5,40,0.011139743030071259,0.000312638672767207
5,41,0.011106588877737522,0.0003096381260547787
5,42,0.01114231999963522,0.0003108878736384213
6,0,0.01093962974846363,0.0003017730196006596
6,1,0.010918449610471725,0.00030019338009878993
6,2,0.010972094722092152,0.00030011654598638415
6,3,0.010944753885269165,0.0003005622420459986
6,4,0.010933642275631428,0.000301168707665056
6,5,0.01089229341596365,0.00029847578844055533
6,6,0.010947572067379951,0.0003023570461664349
6,7,0.010935947299003601,0.0003003396559506655
6,8,0.010991960763931274,0.00030335504561662674
6,9,0.010951444506645203,0.0003021193260792643
